TIME,DATA
0,300.18991105956627
800,301.17345392774644
1200,301.55375211473387
1600,302.36356862640656
2000,303.1406323751084
2800,303.9159543118504
3600,304.483725379133
4000,305.05543735790496
4400,305.3220278809733
5600,306.5161529126947
6000,307.39147847940967
6400,308.3087978607504
6800,309.15934507811176
7200,309.2209920259603
7600,309.803587911068
8400,310.5335562951462
8800,311.48930624122
9200,311.759662137853
9600,311.99896141075567
10000,312.1610220373193
10400,312.52790040358923
11200,313.86419859052074
11600,314.58161206236935
12000,314.7287519381517
12400,315.7150471030763
12800,316.56835897615736
13200,316.9096732936423
14400,318.4992420459544
14800,319.1871240892884
15600,320.75835046846015
16000,321.3268224700194
16800,322.7216015334804
17600,323.1404560641849
18000,323.18247165088445
18800,324.41639977875917
20000,324.33270037314605
20400,323.84187335783747
20800,322.9354968771805
21600,322.20467685333284
22000,321.737580118744
22400,322.1692179980207
22800,322.4327523497001
24000,323.9630653580819
24400,324.90425359822837
25200,326.1863442959756
26000,327.02028556809154
26400,327.71615254870494
26800,328.6975738298687
27200,329.26002057438444
27600,329.92161585019835
28400,331.4973288086096
29200,332.3844538004678
29600,332.98413434782174
30000,333.45230161238703
30400,334.1906673451615
30800,334.79911336399715
31600,335.7329456909381
32000,336.22556660037526
32400,336.9137109578639
32800,337.7411078449536
33600,338.91645081032027
34000,339.7074232511646
34400,340.5776738304367
34800,340.6929631002932
35600,340.8473281131389
36000,339.85624735768266
37200,338.69585435441337
37600,337.9431730793421
38400,336.44024038491204
39200,335.2918105195729
39600,334.351494730888
40400,332.777709199182
41200,331.94579232422194
41600,331.20688804053106
42000,331.68051311572196
42800,333.10543059852904
43200,333.27260686306386
44000,335.1585072841738
44400,335.66505164348445
45200,337.3181297045722
45600,338.13572331559436
46400,338.4682616945034
46800,338.898657219996
47200,338.9753882639981
47600,339.2615088197867
48000,339.9786969056713
48800,341.2337888661644
49200,342.0804523400957
49600,342.30890809847136
51200,340.4376918997136
52000,339.15009406766666
52400,338.39708184691824
53200,337.95260943080774
53600,337.1583496011861
54000,336.81481613575767
54400,335.9138895720951
55200,334.18338898105833
56000,333.00247567380393
56400,332.7036887070799
56800,331.709084492252
57200,331.29544928700227
58000,330.661691166649
58800,330.2877039841244
60000,330.90194852177206
60400,331.3077997114563
61600,333.4047906667207
62000,334.20009359032827
62800,335.517852070024
63200,336.13282219555646
64000,337.0079597143687
64400,337.9457892395513
64800,338.8179812458909
65200,339.7917575699417
66000,340.8339433507514
66800,341.74327693451977
67200,342.3373083163364
68000,342.45808467751914
68800,344.0326318822244
69600,345.1184899652497
70000,345.6587833209655
71200,347.83051366195735
72000,347.248932296076
72400,346.532002959199
72800,346.2890447763315
73600,345.4135554332485
74000,344.4936786733334
74400,344.47389431076226
75200,344.07522046989374
75600,343.18325875813554
76000,342.9094880752283
76400,342.49393349834287
76800,341.7584461728794
77600,340.8707328224852
