TIME,DATA
0,300.6400066902176
1000,300.7781412137003
2000,300.9273730035912
3000,301.56420111519265
4000,301.6344640905703
5000,302.1177594336367
6000,302.77274835860527
7000,301.7989610338998
8000,301.51182771249773
9000,300.87651324836463
10000,300.2275709196211
11000,300.4526337679808
12000,300.52763298172005
13000,301.168436863796
14000,301.6133699490572
15000,301.8080941452967
16000,302.76169251464734
17000,302.9655439595359
18000,303.0670712299119
19000,303.53123801413807
20000,303.8959421784209
21000,304.22679879582256
22000,304.8607562438817
23000,305.5469522722374
24000,306.3570607991915
25000,306.6790743870514
26000,307.3959368590897
27000,308.14331548884456
28000,308.90558952105243
29000,309.0155708634373
30000,309.48586052235834
31000,310.00133585875346
32000,310.53627828862284
33000,311.2580161217299
34000,310.9329453557712
35000,310.87585112669296
36000,310.51475403450905
37000,310.0704904003765
38000,309.9504957016854
39000,309.1074797330587
40000,308.1127696159681
41000,307.60626798313126
42000,307.30441894754495
43000,307.1263022719205
44000,306.75634339124053
45000,305.9678025371323
46000,305.5998630719802
47000,305.2326431651734
48000,304.5335001347891
49000,303.5831060981916
50000,302.79014846765847
51000,302.2593392697452
52000,301.3217822433964
53000,300.72798991208504
54000,300.132897429258
55000,300.9476130996352
56000,301.87614672864
57000,302.7392608533012
58000,302.80072095392705
59000,302.86691679929885
60000,303.1425994068212
61000,303.3328298753658
62000,303.4536385304837
63000,302.9873631296035
64000,302.3505366768108
65000,301.9664150050229
66000,301.4300656334383
67000,301.1713846333248
68000,300.8353276951248
69000,300.2097228094709
70000,300.4863193135025
71000,301.1769433056727
72000,301.315581672404
73000,302.1835305972926
74000,302.460677286222
75000,303.3759866680199
76000,303.3884091733325
77000,303.6741088897436
78000,304.1751142342854
79000,304.58201294205537
80000,305.1832263340203
81000,305.2756754336691
82000,305.8825357415439
83000,306.4649076740771
84000,306.6594398197679
85000,306.8262513700154
86000,307.11007983696635
87000,307.65066045194396
88000,307.8769057401361
89000,308.5197182933906
90000,308.5911178328721
91000,308.7050549392319
92000,308.79959047873285
93000,308.99417713995666
94000,309.9342009236532
95000,310.6492518377308
96000,311.3233775000649
97000,311.3444581364063
98000,312.09343216992426
99000,312.38391577730914
100000,312.4937459162948
101000,313.41220419159066
102000,313.87169570109427
103000,314.76217592377077
104000,315.1639666886609
105000,316.11063815896534
106000,316.56063345947007
107000,316.7094813291196
108000,317.20445741436833
109000,317.9359888131773
110000,318.2731733347682
111000,318.8286563921391
112000,319.5636947253592
113000,319.8166737269047
114000,320.32987684106695
115000,320.8862598848876
116000,320.65835824472094
117000,320.1693934322788
118000,319.4548121197349
119000,318.52084766731076
120000,317.8872644058351
121000,317.571232863329
122000,317.3799573145819
123000,316.83085231671083
124000,316.62855759757497
125000,316.53042085744994
126000,316.1450889617135
127000,315.7943886757277
128000,315.7655554335109
129000,315.25824083513845
130000,315.212374715016
131000,314.78530119801803
132000,314.40398730730925
133000,314.1086469974956
134000,313.8733412221324
135000,313.40514717386213
136000,312.7636938797587
137000,313.20231221477053
138000,313.78875381328453
139000,314.73928657771785
140000,314.96078790894074
141000,315.9318414986631
142000,316.3417754007015
143000,316.7633550496609
144000,316.9390661913973
145000,317.4047495775975
146000,317.60200208246334
147000,318.27305824441333
148000,318.74504590983486
149000,319.7146802628878
150000,320.53916391946836
151000,320.674628242965
152000,321.2075470163156
153000,322.14696696647854
154000,322.52859654129657
155000,323.43868209808613
156000,323.4458450373723
157000,323.6860101991009
158000,324.5047210865379
159000,324.6207832549562
160000,325.0233125497801
161000,325.40544485823045
162000,325.1293783373076
163000,324.2955271451588
164000,323.84534838880427
165000,323.8390259203405
166000,323.83315015026085
167000,323.2947657835893
168000,322.41478236004673
169000,321.49462957575236
170000,321.0023307370163
171000,320.9897533508165
172000,320.1964415505594
173000,319.81796599009203
174000,319.30606734078555
175000,318.9573082065649
176000,318.1339968828074
177000,317.37856171515034
178000,316.39871610869574
179000,315.5432211268667
180000,314.9595853937294
181000,314.36335515965874
182000,313.6060196104141
